sample	name
FP200000586TR_A1	Alkalihalobacillus
D02165D5	Limosilactobacillus
A01894D6	Streptomyces
D02165D5	Clostridium
D00864B2	Vibrio
D02165D2	Streptococcus
D02165E3	Acinetobacter
SS200000553BL_B1	Staphylococcus
D02173F5	Naegleria
D02165D4	Staphylococcus
FP200000611TR_F1	Halomonas
A01892B6	Streptomyces
D02165E6	Lysobacter
SS200000115BR_D4	Stenotrophomonas
A02184A1	Pseudomonas
D02165D2	Enterococcus
D02165E6	Clostridium
SS200000115BR_F4	Vibrio
D02165D5	Bradyrhizobium
C01838C2	Micromonospora
SS200000115BR_E2	Stenotrophomonas
D02165D6	Haemophilus
FP200000421BR_E3	Pseudomonas
SS200000114BR_B3	Streptomyces
D02165D4	Ligilactobacillus
SS200000114BR_A2	Fusobacterium
D02165D5	Burkholderia
D02173F5	Xanthomonas
D02165D4	Bacillus
D02165D5	Staphylococcus
SS200000553BL_C1	Pseudomonas
D02172E6	Micromonospora
SS200000863BR_C4	Streptomyces
SS200000863BR_C4	Vibrio
FP200000586TR_A1	Nocardioides
D02173F5	Fusobacterium
SS200000115BR_D4	Vibrio
D02165D5	Halomonas
D02165E6	Acinetobacter
D02165D1	Acinetobacter
SS200000121BL_D3	Naegleria
FP200000611TR_F1	Bradyrhizobium
A01894E6	Vibrio
D02165E4	Streptomyces
SS200000553BL_A2	Mycobacterium
A01890D1	Burkholderia
B02210F4	Micromonospora
D02172E3	Glutamicibacter
SS200001472BR_B5	Staphylococcus
D02173E3	Pseudomonas
D02165D2	Alistipes
D02173F5	Micromonospora
FP200000586TR_A1	Glutamicibacter
SS200000114BR_A4	Stenotrophomonas
D02165D5	Agrobacterium
D02165E6	Lactobacillus
D00864C5	Stenotrophomonas
D02165D2	Metamycoplasma
SS200001472BR_A5	Pseudomonas
D02165E1	Streptomyces
D02165E6	Amycolatopsis
FP200000586TR_A1	Anoxybacillus
FP200000611TR_F1	Clostridium
FP200000611TR_F1	Methylobacterium
SS200000726BL_E1	Pseudomonas
D02165E3	Pseudomonas
SS200000553BL_A2	Corynebacterium
A01894F5	Glutamicibacter
D02165E1	Naegleria
FP200000586TR_A1	Amycolatopsis
D02165D5	Paenibacillus
SS200000114BR_A2	Stenotrophomonas
D02165D3	Acinetobacter
SS200000114BR_B3	Pseudomonas
C01838C4	Streptococcus
A01892C2	Streptomyces
SS200000553BL_B6	Mycobacterium
SS200000553BL_B1	Clostridium
D02173E4	Micromonospora
A01894F5	Empedobacter
SS200000114BR_C1	Staphylococcus
C01838C2	Empedobacter
FP200000421BR_E3	Amycolatopsis
FP200000611TR_E1	Micromonospora
A02184A1	Naegleria
A01894F4	Pseudomonas
FP200000586TR_A1	Burkholderia
C01838C2	Clostridium
D02172E3	Campylobacter
FP200000611TR_F1	Curtobacterium
D02165D6	Lysobacter
SS200000726BL_E4	Pseudomonas
D02069C1	Staphylococcus
SS200000553BL_B6	Micromonospora
D02165C6	Amycolatopsis
D02165C6	Schaalia
D02165E4	Staphylococcus
D02165C6	Glutamicibacter
SS200000115BR_E2	Micromonospora
A01894E6	Streptomyces
SS200000553BL_A2	Lactobacillus
C01838C2	Burkholderia
D02173E3	Lysobacter
A01894F4	Naegleria
C01838C2	Lysobacter
D02165E1	Vibrio
D02165E6	Bacillus
FP200000611TR_F1	Microbacterium
SS200000114BR_B3	Stenotrophomonas
D02165D6	Staphylococcus
SS200000726BL_E3	Pseudomonas
SS200001472BR_A5	Naegleria
SS200000114BR_A4	Vibrio
FP200000586TR_A1	Flavobacterium
D00864B2	Naegleria
D02165D5	Aeromonas
D02069C2	Glutamicibacter
D02165D3	Bradyrhizobium
SS200000158BL_E6	Pseudomonas
D02165D4	Acinetobacter
D02173E4	Pseudomonas
FP200000611TR_F1	Mycobacterium
FP200000421BR_E4	Nocardioides
D02165D5	Lysobacter
A02184A2	Streptomyces
D02165E2	Micromonospora
SS200000115BR_F4	Pseudomonas
D02165E3	Micromonospora
D02165D5	Bacillus
D02165E4	Naegleria
SS200000115BR_E2	Pseudomonas
SS200000114BR_B3	Vibrio
SS200000114BR_A2	Vibrio
FP200000421BR_D4	Nocardioides
FP200000611TR_E1	Alkalihalobacillus
FP200000611TR_F1	Paenibacillus
D02165E4	Pseudomonas
D00864B4	Stenotrophomonas
D02165D5	Brevundimonas
SS200000114BR_A2	Peptoniphilus
C01838C4	Naegleria
A01894E6	Achromobacter
FP200000586TR_A1	Brachybacterium
SS200000114BR_C1	Alkalihalobacillus
A01894F5	Citrobacter
FP200000611TR_F1	Bacillus
D02172E3	Micromonospora
D00864B2	Staphylococcus
D00864C5	Vibrio
FP200000611TR_F1	Burkholderia
D02165C6	Lysobacter
SS200000553BL_A2	Halomonas
SS200000863BR_C2	Pseudomonas
D02165E2	Amycolatopsis
FP200000586TR_A1	Mycobacterium
SS200000114BR_B3	Cutibacterium
D00864B4	Vibrio
A02184A1	Mycobacterium
D02172E3	Staphylococcus
FP200000611TR_F1	Actinoplanes
SS200001472BR_B4	Pseudomonas
FP200000611TR_F1	Kurthia
FP200000586TR_A1	Paenibacillus
FP200000611TR_F1	Corynebacterium
SS200000114BR_A2	Prevotella
A01894F5	Micromonospora
D02165D5	Shewanella
D02165D6	Mycobacterium
A01894F5	Mycolicibacterium
SS200000115BR_D4	Pseudomonas
A01894D6	Naegleria
D02165D5	Sphingomonas
D02165D4	Bradyrhizobium
SS200000553BL_A2	Amycolatopsis
SS200000121BL_D3	Stenotrophomonas
D02069C2	Bradyrhizobium
SS200000553BL_B1	Halomonas
D01574E3	Micromonospora
FP200000611TR_F1	Flavobacterium
SS200000114BR_A4	Pseudomonas
SS200000553BL_B1	Bacillus
A01890D2	Clostridium
A01890D2	Burkholderia
FP200000611TR_F1	Mycolicibacterium
SS200000121BL_D3	Acinetobacter
SS200001472BR_B4	Naegleria
D02165D1	Lysobacter
D02165E6	Bradyrhizobium
D02165D4	Paenibacillus
SS200000553BL_A2	Brevundimonas
C01838C2	Enterobacter
SS200000726BL_D6	Pseudomonas
D02165C6	Burkholderia
SS200000553BL_A2	Lysobacter
SS200000115BR_F4	Staphylococcus
FP200000611TR_F1	Rhodococcus
SS200000553BL_A2	Bradyrhizobium
A01890D1	Staphylococcus
B02210F4	Acinetobacter
FP200000421BR_E4	Staphylococcus
SS200000121BL_D3	Pseudomonas
FP200000421BR_D4	Amycolatopsis
D02172E3	Veillonella
A01890D1	Micromonospora
D02069C1	Mycobacterium
A01892C2	Vibrio
FP200000611TR_F1	Chryseobacterium
FP200000586TR_A1	Empedobacter
C01838C2	Shewanella
D02165D1	Amycolatopsis
D02173F6	Bradyrhizobium
D02165E2	Klebsiella
D02165D2	Bacteroides
D00864B2	Pseudomonas
A02184A1	Staphylococcus
SS200000553BL_C1	Amycolatopsis
D02173E6	Staphylococcus
D02173E4	Lactobacillus
SS200000115BR_F3	Cutibacterium
D02165E6	Burkholderia
A01894F4	Glutamicibacter
SS200000553BL_B1	Bradyrhizobium
D02165D1	Clostridium
FP200000586TR_A1	Corynebacterium
FP200000611TR_F1	Cupriavidus
SS200000114BR_A2	Pseudomonas
C01838C2	Megasphaera
SS200000115BR_F4	Micromonospora
SS200000553BL_A2	Clostridium
FP200000611TR_F1	Helicobacter
D02165C6	Selenomonas
SS200001472BR_B5	Pseudomonas
SS200000553BL_A2	Sphingomonas
SS200000726BL_E3	Mycobacterium
D02165D3	Actinomyces
D02173F6	Mycobacterium
SS200000726BL_E3	Naegleria
A01890D2	Streptococcus
D02165D6	Neisseria
D00864C5	Streptomyces
C01838C4	Lactobacillus
D02165E2	Acinetobacter
D02165E2	Glutamicibacter
A02184A2	Vibrio
FP200000586TR_A1	Methylobacterium
D02165D5	Mycobacterium
D02165D5	Nocardioides
FP200000421BR_E4	Sphingomonas
FP200000611TR_F1	Anaerococcus
C01838C2	Lactobacillus
SS200000553BL_C1	Mycobacterium
SS200000553BL_A2	Bacteroides
SS200000553BL_A2	Paenibacillus
D02165D5	Caulobacter
D02069C2	Micromonospora
D02165C6	Sphingomonas
D02165D4	Mycobacterium
D02165E6	Paenibacillus
D02173F5	Helicobacter
SS200000726BL_E3	Micromonospora
D02165D6	Amycolatopsis
A01894F5	Bradyrhizobium
FP200000611TR_E1	Staphylococcus
SS200000115BR_F3	Pseudomonas
SS200001472BR_A5	Mycobacterium
D02165D6	Capnocytophaga
SS200000114BR_B3	Deinococcus
A01890D2	Staphylococcus
D02165E2	Burkholderia
FP200000611TR_E1	Nocardioides
FP200000421BR_E4	Mycobacterium
SS200000553BL_B6	Glutamicibacter
FP200000611TR_E1	Brachybacterium
SS200000158BL_E6	Legionella
SS200001472BR_B5	Vibrio
D02165C6	Bradyrhizobium
D02165D3	Streptococcus
D02165D5	Mesorhizobium
SS200000553BL_A2	Megasphaera
D02069C2	Acinetobacter
SS200000115BR_D4	Micromonospora
C01838C4	Halomonas
D02165D3	Bacillus
D02165C6	Acinetobacter
D02165D5	Arthrobacter
D02172E6	Paenibacillus
D02173E6	Bradyrhizobium
SS200000115BR_F3	Vibrio
D02069C2	Clostridium
FP200000586TR_A1	Microbacterium
D02165D3	Lysobacter
SS200000114BR_A4	Micromonospora
D02173E6	Chryseobacterium
D02165D6	Halomonas
D02165E1	Pseudomonas
D02173F5	Acinetobacter
SS200000553BL_B1	Alkalihalobacillus
FP200000586TR_A1	Bradyrhizobium
D02165E6	Halomonas
D02069C2	Paenibacillus
FP200000421BR_D4	Glutamicibacter
FP200000421BR_E4	Nonomuraea
SS200000863BR_C2	Staphylococcus
SS200000553BL_A2	Listeria
FP200000421BR_D4	Sphingomonas
D02165D3	Amycolatopsis
D02172E6	Hymenobacter
D02165E6	Sphingomonas
D02165D1	Burkholderia
SS200000158BL_E6	Macrococcus
C01838C2	Paenibacillus
FP200000421BR_D1	Vibrio
D02165D5	Amycolatopsis
D02173E3	Staphylococcus
D02172E3	Selenomonas
D02165D1	Bradyrhizobium
SS200000553BL_A2	Variovorax
A01894E6	Pseudomonas
A01894E6	Aeromonas
SS200000114BR_A2	Micromonospora
D02165E6	Microbacterium
B02210F4	Bradyrhizobium
D02165D6	Clostridium
D02165E2	Lysobacter
SS200000863BR_C4	Pseudomonas
FP200000611TR_F1	Dactylosporangium
SS200000553BL_C1	Micromonospora
SS200000114BR_B3	Naegleria
FP200000586TR_A1	Bacillus
SS200000114BR_C1	Amycolatopsis
A01894E6	Naegleria
D01574E3	Glutamicibacter
FP200000586TR_A1	Lysobacter
D01574E3	Sphingomonas
D02165E6	Mycobacterium
D02165E6	Glutamicibacter
FP200000421BR_D1	Pseudomonas
A01894F5	Listeria
D02165E6	Helicobacter
FP200000421BR_D4	Mycobacterium
D02165D5	Corynebacterium
A01890D2	Glutamicibacter
SS200000553BL_B1	Helicobacter
D02165D5	Methylobacterium
D02165D4	Listeria
D01574E3	Clostridium
A01890D2	Bradyrhizobium
A01894F4	Bradyrhizobium
FP200000421BR_E3	Staphylococcus
FP200000611TR_E1	Sphingomonas
D02165E3	Bradyrhizobium
D02165C6	Mycobacterium
D02172E6	Staphylococcus
D02173F5	Lysobacter
FP200000421BR_D1	Stenotrophomonas
SS200000553BL_B1	Chryseobacterium
A01890D1	Paenibacillus
A01894E6	Staphylococcus
D02173F6	Corynebacterium
D02165D5	Aggregatibacter
FP200000586TR_A1	Mycolicibacterium
D00864C5	Pseudomonas
D02165E3	Lactobacillus
A02184A2	Staphylococcus
D02069C1	Micromonospora
FP200000421BR_E4	Alkalihalobacillus
D02172E3	Acinetobacter
SS200000553BL_A2	Moraxella
SS200000553BL_A2	Bacillus
SS200000726BL_D6	Naegleria
C01838C2	Listeria
C01838C2	Microbacterium
D01574E3	Mycobacterium
D02173E6	Clostridium
FP200000611TR_F1	Shewanella
FP200000421BR_E3	Micromonospora
D02173F6	Paenibacillus
D02165E2	Sphingomonas
D02165C6	Agarivorans
D02165D5	Cellulomonas
D02165D2	Bradyrhizobium
D00864B4	Pseudomonas
D02165E2	Lactobacillus
C01838C4	Microbacterium
FP200000611TR_F1	Campylobacter
SS200000158BL_E6	Micromonospora
D02165D2	Bacillus
SS200000553BL_B1	Moraxella
D01574E3	Ralstonia
D02165D4	Lachnoclostridium
C01838C2	Myroides
D02173F6	Lactobacillus
B02210F4	Clostridium
D02173F6	Microbacterium
D02165E3	Gordonia
D02165E2	Clostridium
FP200000421BR_D4	Methylobacterium
D02165D5	Nonomuraea
A01892B6	Mycobacterium
SS200000553BL_B1	Paenibacillus
D02165D4	Cutibacterium
SS200000114BR_C1	Acinetobacter
SS200000726BL_E4	Mycobacterium
D02165D5	Microbacterium
A01890D2	Acinetobacter
D01574E3	Staphylococcus
D02165C6	Corynebacterium
D02172E6	Microbacterium
SS200000114BR_A2	Campylobacter
D00864B4	Streptomyces
SS200001472BR_B4	Helicobacter
D02165E2	Mycobacterium
FP200000586TR_A1	Halomonas
FP200000586TR_A1	Aeromonas
A01890D1	Clostridium
D02173F5	Staphylococcus
SS200000115BR_E2	Amycolatopsis
SS200000726BL_E1	Micromonospora
D02173E6	Burkholderia
SS200000115BR_E2	Staphylococcus
D02165D2	Amycolatopsis
SS200000726BL_E1	Mycobacterium
FP200000611TR_F1	Mesorhizobium
SS200000553BL_B1	Lactobacillus
SS200000553BL_A2	Burkholderia
D02165E2	Helicobacter
D02173E6	Paenibacillus
D02173E4	Mycobacterium
SS200000114BR_A4	Staphylococcus
SS200001472BR_A5	Micromonospora
C01838C2	Tessaracoccus
D02172E3	Paenibacillus
D02165C6	Microbacterium
D02165D4	Sphingomonas
SS200000158BL_E6	Acinetobacter
FP200000586TR_A1	Shewanella
SS200000114BR_C1	Cutibacterium
FP200000611TR_F1	Arthrobacter
A01890D2	Halomonas
B02210F4	Staphylococcus
A01890D1	Mesorhizobium
FP200000586TR_A1	Dactylosporangium
A01894F5	Aeromonas
FP200000421BR_D3	Vibrio
D02165D2	Staphylococcus
D02165D2	Sphingomonas
D02173F6	Bacillus
D02165D4	Burkholderia
FP200000421BR_E4	Cupriavidus
FP200000586TR_A1	Escherichia
FP200000586TR_A1	Listeria
SS200000553BL_B1	Microbacterium
A01894F5	Cupriavidus
SS200000726BL_E1	Naegleria
SS200000553BL_C1	Cutibacterium
FP200000421BR_E4	Methylobacterium
D02165E2	Paenibacillus
D02165D4	Mesorhizobium
SS200000115BR_D4	Staphylococcus
C01838C2	Citrobacter
D02165C6	Veillonella
FP200000611TR_F1	Klebsiella
D01574E3	Acinetobacter
D02165D4	Halomonas
FP200000586TR_A1	Mesorhizobium
D02165C6	Halomonas
D02172E3	Clostridium
A01892C2	Mycobacterium
SS200000863BR_C2	Naegleria
D02165D6	Bradyrhizobium
A01890D2	Paenibacillus
SS200000726BL_D6	Micromonospora
D02165D3	Clostridium
D02165D5	Rhodococcus
SS200000158BL_E6	Staphylococcus
D02165D6	Burkholderia
FP200000421BR_D4	Alkalihalobacillus
SS200000553BL_A2	Flavobacterium
D02165E6	Flavobacterium
FP200000586TR_A1	Acidovorax
C01838C2	Cutibacterium
D02165D5	Paracoccus
FP200000611TR_F1	Aeromonas
FP200000421BR_E4	Flavobacterium
D02173F6	Acinetobacter
SS200000726BL_E4	Naegleria
D02173E6	Bacillus
B02210F4	Hymenobacter
FP200000611TR_F1	Paraburkholderia
C01838C4	Comamonas
D02165C6	Paenibacillus
D02172E6	Glutamicibacter
SS200000121BL_D3	Micromonospora
FP200000611TR_E1	Clostridium
D02165D2	Paenibacillus
D02165D4	Limosilactobacillus
D02165D2	Lysobacter
SS200000114BR_C1	Clostridium
D02069C2	Sphingomonas
D02172E3	Amycolatopsis
D02165D2	Clostridium
SS200000553BL_B1	Sphingomonas
D02165D6	Microbacterium
B02210F4	Paenibacillus
FP200000421BR_D3	Pseudomonas
SS200000553BL_B1	Flavobacterium
FP200000421BR_E4	Thermobifida
A01890D1	Acinetobacter
A02184A1	Lysobacter
FP200000586TR_A1	Paraburkholderia
A01890D1	Bacillus
SS200000863BR_C2	Micromonospora
D02165C6	Massilia
D02165D4	Methylobacterium
D02173F6	Clostridium
A01892C2	Burkholderia
